sentence_id,sentence_text,character_mention,canonical_character,label,evidence_span,notes
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Peter,Peter Pevensie,MENTIONED_ONLY,,
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Susan,Susan Pevensie,MENTIONED_ONLY,,
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Edmund,Edmund Pevensie,MENTIONED_ONLY,,
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Lucy,Lucy Pevensie,MENTIONED_ONLY,,
2,This story is about something that happened to them when they were sent away from London during the war because of the air - raids .,,,MENTIONED_ONLY,,
3,"They were sent to the house of an old Professor who lived in the heart of the country , ten miles from the nearest railway station and two miles from the nearest post office .",Professor ,Professor Digory Kirke,MENTIONED_ONLY,,
4,He had no wife and he lived in a very large house with a housekeeper called Mrs. Macready and three servants .,Mrs. Macready,Mrs. Macready,MENTIONED_ONLY,,
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )",Ivy,Ivy,MENTIONED_ONLY,,
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )",Margaret,Margaret,MENTIONED_ONLY,,
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )",Betty,Betty,MENTIONED_ONLY,,
6,"He himself was a very old man with shaggy white hair , which grew over most of his face as well as on his head , and they liked him almost at once ; but on the first evening when he came out to meet them at the front door he was so odd - looking that Lucy ( who was the youngest ) was a little afraid of him , and Edmund ( who was the next youngest ) wanted to laugh and had to keep on pretending he was blowing his nose to hide it .",Lucy,Lucy Pevensie,MENTIONED_ONLY,,
6,"He himself was a very old man with shaggy white hair , which grew over most of his face as well as on his head , and they liked him almost at once ; but on the first evening when he came out to meet them at the front door he was so odd - looking that Lucy ( who was the youngest ) was a little afraid of him , and Edmund ( who was the next youngest ) wanted to laugh and had to keep on pretending he was blowing his nose to hide it .",Edmund,Edmund Pevensie,MENTIONED_ONLY,,
7,"As soon as they had said good night to the Professor and gone upstairs on the first night , the boys came into the girls ' room and they all talked it over .",Professor,Professor Digory Kirke,,,
8,"We 've fallen on our feet and no mistake , said Peter .",Peter,Peter Pevensie,ACTIVE_SPEAKER,,
9,This is going to be perfectly splendid .,,,,,
10, That old chap will let us do anything we like .,,,,,
11,"I think he 's an old dear , said Susan .",Susan,Susan Pevensie,ACTIVE_SPEAKER,,
12,"Oh , come off it ! said Edmund , who was tired and pretending not to be tired , which always made him bad - tempered .",Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
13,Do n't go on talking like that .,,,,,
14,"Like what ? said Susan ; "" and anyway , it 's time you were in bed . """,Susan,Susan Pevensie,ACTIVE_SPEAKER,,
15,"Trying to talk like Mother , said Edmund .",Mother,Mrs. Pevensie,MENTIONED_ONLY,,
16,"Trying to talk like Mother , said Edmund .",Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
17,"And who are you to say when I 'm to go to bed ?
 Go to bed yourself .",,,,,
18,Had n't we all better go to bed ? said Lucy .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
19,There 's sure to be a row if we 're heard talking here .,,,,,
20,"No there wo n't , said Peter .",Peter,Peter Pevensie,ACTIVE_SPEAKER,,
21,I tell you this is the sort of house where no one 's going to mind what we do .,,,,,
22," Anyway , they wo n't hear us .",,,,,
23," It 's about ten minutes ' walk from here down to that dining room , and any amount of stairs and passages in between ",,,,,
24,What 's that noise ? said Lucy suddenly .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
25,It was a far larger house than she had ever been in before and the thought of all those long passages and rows of doors leading into empty rooms was beginning to make her feel a little creepy .,,,,,
26,"It 's only a bird , silly , said Edmund .",Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
27,"It 's an owl , said Peter .",Peter,Peter Pevensie,ACTIVE_SPEAKER,,
28,This is going to be a wonderful place for birds .,,,,,
29, I shall go to bed now .,,,,,
30," I say , let 's go and explore to - morrow .",,,,,
31, You might find anything in a place like this .,,,,,
32, Did you see those mountains as we came along ?,,,,,
33,And the woods ?,,,,,
34, There might be eagles .,,,,,
35, There might be stags .,,,,,
36, There 'll be hawks .,,,,,
37,,,,,,
38,Badgers ! said Lucy .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
39,Snakes ! said Edmund .,Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
40,Foxes ! said Susan .,Susan,Susan Pevensie,ACTIVE_SPEAKER,,
41,"But when next morning came , there was a steady rain falling , so thick that when you looked out of the window you could see neither the mountains nor the woods nor even the stream in the garden .",,,,,
42,Of course it _would_ be raining ! said Edmund .,Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
43,"They had just finished breakfast with the Professor and were upstairs in the room he had set apart for them -- a long , low room with two windows looking out in one direction and two in another .",Professor,Professor Digory Kirke,MENTIONED_ONLY,,
44,"Do stop grumbling , Ed , said Susan .",Ed ,Edmund Pevensie,ADDRESSED,,
45,"Do stop grumbling , Ed , said Susan .",Susan,Susan Pevensie,ACTIVE_SPEAKER,,
46,"Ten to one it 'll clear up in an hour or so .
 And in the meantime we 're pretty well off .
 There 's a wireless and lots of books .",,,,,
47,"Not for me , said Peter , "" I 'm going to explore in the house . """,Peter,Peter Pevensie,ACTIVE_SPEAKER,,
48,Everyone agreed to this and that was how the adventures began .,,,,,
49,"It was the sort of house that you never seem to come to the end of , and it was full of unexpected places .",,,,,
50,"The first few doors they tried led only into spare bedrooms , as everyone had expected that they would ; but soon they came to a very long room full of pictures and there they found a suit of armour ; and after that was a room all hung with green , with a harp in one corner ; and then came three steps down and five steps up , and then a kind of little upstairs hall and a door that led out onto a balcony , and then a whole series of rooms that led into each other and were lined with books -- most of them very old books and some bigger than a Bible in a church .",,,,,
51,And shortly after that they looked into a room that was quite empty except for one big wardrobe ; the sort that has a looking - glass in the door .,,,,,
52,There was nothing else in the room at all except a dead blue - bottle on the window - sill .,,,,,
53,"Nothing there ! said Peter , and they all trooped out again -- all except Lucy .",Peter,Peter Pevensie,ACTIVE_SPEAKER,,
53,"Nothing there ! said Peter , and they all trooped out again -- all except Lucy .",Lucy,Lucy Pevensie,ACTIVE_PERFORMER,,
54,"She stayed behind because she thought it would be worth while trying the door of the wardrobe , even though she felt almost sure that it would be locked .",,,,,
55,"To her surprise it opened quite easily , and two moth - balls dropped out .",,,,,
56,"Looking into the inside , she saw several coats hanging up -- mostly long fur coats .",,,,,
57,"There was nothing Lucy liked so much as the smell and feel of fur. She immediately stepped into the wardrobe and got in among the coats and rubbed her face against them , leaving the door open , of course , because she knew that it is very foolish to shut oneself into any wardrobe .",Lucy,Lucy Pevensie,ACTIVE_PERFORMER,,
58,Soon she went further in and found that there was a second row of coats hanging up behind the first one .,,,,,
59,It was almost quite dark in there and she kept her arms stretched out in front of her so as not to bump her face into the back of the wardrobe .,,,,,
60,She took a step further in -- then two or three steps -- always expecting to feel woodwork against the tips of her fingers .,,,,,
61,But she could not feel it .,,,,,
62,"This must be a simply enormous wardrobe ! thought Lucy , going still further in and pushing the soft folds of the coats aside to make room for her .",Lucy,Lucy Pevensie,ACTIVE_THOUGHT,,
63,Then she noticed that there was something crunching under her feet .,,,,,
64,"I wonder is that more moth - balls ? she thought , stooping down to feel it with her hands .",Lucy,Lucy Pevensie,ACTIVE_THOUGHT,,
65,"But instead of feeling the hard , smooth wood of the floor of the wardrobe , she felt something soft and powdery and extremely cold , "" This is very queer , "" she said , and went on a step or two further .",,,,,
66,Next moment she found that what was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly .,,,,,
67,"Why , it is just like branches of trees ! exclaimed Lucy .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
68,"And then she saw that there was a light ahead of her ; not a few inches away where the back of the wardrobe ought to have been , but a long way off .",,,,,
69,Something cold and soft was falling on her .,,,,,
70,A moment later she found that she was standing in the middle of a wood at night - time with snow under her feet and snowflakes falling through the air .,,,,,
71,"Lucy felt a little frightened , but she felt very inquisitive and excited as well .",Lucy,Lucy Pevensie,ACTIVE_THOUGHT,,
72,"She looked back over her shoulder and there , between the dark tree - trunks , she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out .",,,,,
73,"( She had , of course , left the door open , for she knew that it is a very silly thing to shut oneself into a wardrobe . )",,,,,
74,It seemed to be still daylight there .,,,,,
75,"I can always get back if anything goes wrong , thought Lucy .",Lucy,Lucy Pevensie,ACTIVE_THOUGHT,,
76,"She began to walk forward , _crunch - crunch_ , over the snow and through the wood towards the other light .",,,,,
77,In about ten minutes she reached it and found that it was a lamp - post .,,,,,
78,"As she stood looking at it , wondering why there was a lamp - post in the middle of a wood and wondering what to do next , she heard a pitter patter of feet coming towards her .",,,,,
79,And soon after that a very strange person stepped out from among the trees into the light of the lamp - post .,,,,,
80,"He was only a little taller than Lucy herself and he carried over his head an umbrella , white with snow .",Lucy,Lucy Pevensie,MENTIONED_ONLY,,
81,"From the waist upwards he was like a man , but his legs were shaped like a goat 's ( the hair on them was glossy black ) and instead of feet he had goat 's hoofs .",,,,,
82,"He also had a tail , but Lucy did not notice this at first because it was neatly caught up over the arm that held the umbrella so as to keep it from trailing in the snow .",,,,,
83,He had a red woollen muffler round his neck and his skin was rather reddish too .,,,,,
84,"He had a strange , but pleasant little face with a short pointed beard and curly hair , and out of the hair there stuck two horns , one on each side of his forehead .",,,,,
85,"One of his hands , as I have said , held the umbrella : in the other arm he carried several brown paper parcels .",,,,,
86,What with the parcels and the snow it looked just as if he had been doing his Christmas shopping .,,,,,
87,He was a Faun .,Faun,Mr. Tumnus,MENTIONED_ONLY,,
88,And when he saw Lucy he gave such a start of surprise that he dropped all his parcels .,Lucy ,Lucy Pevensie,MENTIONED_ONLY,,
89,Goodness gracious me ! exclaimed the Faun .,Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
90,"Good evening , said Lucy .",,,,,
91,But the Faun was so busy picking up his parcels that at first he did not reply .,Faun,Mr. Tumnus,ACTIVE_PERFORMER,,
92,When he had finished he made her a little bow .,,,,,
93,"Good evening , good evening , said the Faun .",Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
94,Excuse me -- I do n't want to be inquisitive -- but should I be right in thinking that you are a Daughter of Eve ?,Daughter of Eve,Lucy Pevensie,ADDRESSED,,
95,"My name 's Lucy , said she , not quite understanding him .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
96,But you are -- forgive me -- you are what they call a girl ? asked the Faun .,Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
97,"Of course I 'm a girl , said Lucy .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
98,You are in fact Human ?,,,,,
99,"Of course I 'm human , said Lucy , still a little puzzled .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
100,"To be sure , to be sure , said the Faun .",Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
101, How stupid of me !,,,,,
102,But I 've never seen a Son of Adam or a Daughter of Eve before .,Son of Adam,,MISCELLANEOUS,,
102,But I 've never seen a Son of Adam or a Daughter of Eve before .,Daughter of Eve,,MISCELLANEOUS,,
103,I am delighted .,,,,,
104,That is to say --  and then he stopped as if he had been going to say something he had not intended but had remembered in time ,,,,,
105," Delighted , delighted ,  he went on .",,,,,
106, Allow me to introduce myself .,,,,,
107,My name is Tumnus . ,Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
108," I am very pleased to meet you , Mr. Tumnus ,  said Lucy .",Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
108," I am very pleased to meet you , Mr. Tumnus ,  said Lucy .",Lucy ,Lucy Pevensie,ACTIVE_SPEAKER,,
109," And may I ask , O Lucy , Daughter of Eve ,  said Mr. Tumnus , "" how you have come into Narnia ? """,Lucy ,Lucy Pevensie,ADDRESSED,,
109," And may I ask , O Lucy , Daughter of Eve ,  said Mr. Tumnus , "" how you have come into Narnia ? """,Daughter of Eve,Lucy Pevensie,ADDRESSED,,
109," And may I ask , O Lucy , Daughter of Eve ,  said Mr. Tumnus , "" how you have come into Narnia ? """,Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
110, Narnia ?,,,,,
111,What 's that ?  said Lucy .,Lucy ,Lucy Pevensie,ACTIVE_SPEAKER,,
112," This is the land of Narnia ,  said the Faun , "" where we are now ; all that lies between the lamp - post and the great castle of Cair Paravel on the eastern sea .",Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
113,"And you -- you have come from the wild woods of the west ? """,,,,,
114," I -- I got in through the wardrobe in the spare room ,  said Lucy .",Lucy ,Lucy Pevensie,ACTIVE_SPEAKER,,
115," Ah !  said Mr. Tumnus in a rather melancholy voice , "" if only I had worked harder at geography when I was a little Faun , I should no doubt know all about those strange countries .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
115," Ah !  said Mr. Tumnus in a rather melancholy voice , "" if only I had worked harder at geography when I was a little Faun , I should no doubt know all about those strange countries .",Faun,Mr. Tumnus,ADDRESSED,,
116,"It is too late now . """,,,,,
117," But they are n't countries at all ,  said Lucy , almost laughing .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
118," It 's only just back there -- at least -- I 'm not sure .
",,,,,
119,It is summer there . ,,,,,
120," Meanwhile ,  said Mr. Tumnus , "" it is winter in Narnia , and has been for ever so long , and we shall both catch cold if we stand here talking in the snow .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
121,"Daughter of Eve from the far land of Spare Oom where eternal summer reigns around the bright city of War Drobe , how would it be if you came and had tea with me ? """,Daughter of Eve,Lucy Pevensie,ADDRESSED,,
122," Thank you very much , Mr. Tumnus ,  said Lucy .",Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
122," Thank you very much , Mr. Tumnus ,  said Lucy .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
123, But I was wondering whether I ought to be getting back . ,,,,,
124," It 's only just round the corner ,  said the Faun , "" and there 'll be a roaring fire -- and toast -- and sardines -- and cake . """,Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
125," Well , it 's very kind of you ,  said Lucy .",Lucy ,Lucy Pevensie,ACTIVE_SPEAKER,,
126, But I sha n't be able to stay long . ,,,,,
127," If you will take my arm , Daughter of Eve ,  said Mr. Tumnus , "" I shall be able to hold the umbrella over both of us .",Daughter of Eve,Lucy Pevensie,ADDRESSED,,
127," If you will take my arm , Daughter of Eve ,  said Mr. Tumnus , "" I shall be able to hold the umbrella over both of us .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
128,That 's the way .,,,,,
129,"Now -- off we go . """,,,,,
130,And so Lucy found herself walking through the wood arm in arm with this strange creature as if they had known one another all their lives .,Lucy,Lucy Pevensie,ACTIVE_PERFORMER,,
131,They had not gone far before they came to a place where the ground became rough and there were rocks all about and little hills up and little hills down .,,,,,
132,"At the bottom of one small valley Mr. Tumnus turned suddenly aside as if he were going to walk straight into an unusually large rock , but at the last moment Lucy found he was leading her into the entrance of a cave .",Mr. Tumnus,Mr. Tumnus,ACTIVE_PERFORMER,,
133,As soon as they were inside she found herself blinking in the light of a wood fire .,,,,,
134,"Then Mr. Tumnus stooped and took a flaming piece of wood out of the fire with a neat little pair of tongs , and lit a lamp .",Mr. Tumnus,Mr. Tumnus,ACTIVE_PERFORMER,,
135," Now we sha n't be long ,  he said , and immediately put a kettle on .",,,,,
136,Lucy thought she had never been in a nicer place .,,,,,
137,"It was a little , dry , clean cave of reddish stone with a carpet on the floor and two little chairs ( "" one for me and one for a friend , "" said Mr. Tumnus ) and a table and a dresser and a mantelpiece over the fire and above that a picture of an old Faun with a grey beard .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
137,"It was a little , dry , clean cave of reddish stone with a carpet on the floor and two little chairs ( "" one for me and one for a friend , "" said Mr. Tumnus ) and a table and a dresser and a mantelpiece over the fire and above that a picture of an old Faun with a grey beard .",Faun,Unknown,MISCELLANEOUS,,
138,"In one corner there was a door which Lucy thought must lead to Mr. Tumnus ' bedroom , and on one wall was a shelf full of books .",Lucy,Lucy Pevensie,ACTIVE_THOUGHT,,
138,"In one corner there was a door which Lucy thought must lead to Mr. Tumnus ' bedroom , and on one wall was a shelf full of books .",Mr. Tumnus,Mr. Tumnus,MENTIONED_ONLY,,
139,Lucy looked at these while he was setting out the tea things .,Lucy,Lucy Pevensie,ACTIVE_PERFORMER,,
140,"They had titles like _The Life and Letters of Silenus_ or _Nymphs and Their Ways_ or _Men , Monks and Gamekeepers ; a Study in Popular Legend_ or _Is Man a Myth_ ?",,,,,
141," Now , Daughter of Eve !  said the Faun .",Daughter of Eve,Lucy Pevensie,ADDRESSED,,
141," Now , Daughter of Eve !  said the Faun .",Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
142,And really it was a wonderful tea .,,,,,
143,"There was a nice brown egg , lightly boiled , for each of them , and then sardines on toast , and then buttered toast , and then toast with honey , and then a sugar - topped cake .",,,,,
144,And when Lucy was tired of eating the Faun began to talk .,Lucy,Lucy Pevensie,ACTIVE_THOUGHT,,
145,He had wonderful tales to tell of life in the forest .,,,,,
146,"He told about the midnight dances and how the Nymphs who lived in the wells and the Dryads who lived in the trees came out to dance with the Fauns ; about long hunting parties after the milk - white Stag who could give you wishes if you caught him ; about feasting and treasure - seeking with the wild Red Dwarfs in deep mines and caverns far beneath the forest floor ; and then about summer when the woods were green and old Silenus on his fat donkey would come to visit them , and sometimes Bacchus himself , and then the streams would run with wine instead of water and the whole forest would give itself up to jollification for weeks on end .",Silenus,Silenus,MENTIONED_ONLY,,
146,"He told about the midnight dances and how the Nymphs who lived in the wells and the Dryads who lived in the trees came out to dance with the Fauns ; about long hunting parties after the milk - white Stag who could give you wishes if you caught him ; about feasting and treasure - seeking with the wild Red Dwarfs in deep mines and caverns far beneath the forest floor ; and then about summer when the woods were green and old Silenus on his fat donkey would come to visit them , and sometimes Bacchus himself , and then the streams would run with wine instead of water and the whole forest would give itself up to jollification for weeks on end .",Bacchus,Bacchus,MENTIONED_ONLY,,
147," Not that it is n't always winter now ,  he added gloomily .",,,,,
148,Then to cheer himself up he took out from its case on the dresser a strange little flute that looked as if it were made of straw and began to play .,,,,,
149,And the tune he played made Lucy want to cry and laugh and dance and go to sleep all at the same time .,Lucy,Lucy Pevensie,ACTIVE_THOUGHT,,
150,"It must have been hours later when she shook herself and said ,",,,,,
151," Oh Mr. Tumnus -- I 'm so sorry to stop you , and I do love that tune -- but really , I must go home .",Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
152,I only meant to stay for a few minutes . ,,,,,
153," It 's no good _now_ , you know ,  said the Faun , laying down his flute and shaking his head at her very sorrowfully .",Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
154," No good ?  said Lucy , jumping up and feeling rather frightened .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
155, What do you mean ?,,,,,
156,I 've got to go home at once .,,,,,
157,The others will be wondering what has happened to me .,,,,,
158,"But a moment later she asked , "" Mr. Tumnus !",Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
159,"Whatever is the matter ? "" for the Faun 's brown eyes had filled with tears and then the tears began trickling down his cheeks , and soon they were running off the end of his nose ; and at last he covered his face with his hands and began to howl .",Faun,Mr. Tumnus,ACTIVE_PERFORMER,,
160, Mr. Tumnus !,Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
161,"
Mr. Tumnus !  said Lucy in great distress .",Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
161,"
Mr. Tumnus !  said Lucy in great distress .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
162, Do n't !,,,,,
163,Do n't !,,,,,
164,What is the matter ?,,,,,
165,Are n't you well ?,,,,,
166,"Dear Mr. Tumnus , do tell me what is wrong . ",Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
167,But the Faun continued sobbing as if his heart would break .,Faun,Mr. Tumnus,ACTIVE_PERFORMER,,
168,"And even when Lucy went over and put her arms round him and lent him her handkerchief , he did not stop .",Lucy,Lucy Pevensie,ACTIVE_PERFORMER,,
169,"He merely took the handkerchief and kept on using it , wringing it out with both hands whenever it got too wet to be any more use , so that presently Lucy was standing in a damp patch .",Lucy,Lucy Pevensie,ACTIVE_PERFORMER,,
170," Mr. Tumnus !  bawled Lucy in his ear , shaking him .",Mr. Tumnus,Mr. Tumnus,ADDRESSED,,
170," Mr. Tumnus !  bawled Lucy in his ear , shaking him .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
171, Do stop .,,,,,
172,Stop it at once !,,,,,
173,"You ought to be ashamed of yourself , a great big Faun like you .",Faun,Mr. Tumnus,ADDRESSED,,
174,What on earth are you crying about ? ,,,,,
175," Oh -- oh -- oh !  sobbed Mr. Tumnus , "" I 'm crying because I 'm such a bad Faun . """,Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
176," I do n't think you 're a bad Faun at all ,  said Lucy .",Faun,Mr. Tumnus,ADDRESSED,,
176," I do n't think you 're a bad Faun at all ,  said Lucy .",Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
177, I think you are a very good Faun .,Faun,Mr. Tumnus,ADDRESSED,,
178,"
You are the nicest Faun I 've ever met . ",Faun,Mr. Tumnus,ADDRESSED,,
179," Oh -- oh -- you would n't say that if you knew ,  replied Mr. Tumnus between his sobs .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
180," No , I 'm a bad Faun .",Faun,Mr. Tumnus,ADDRESSED,,
181,I do n't suppose there ever was a worse Faun since the beginning of the world ,Faun,Mr. Tumnus,ADDRESSED,,
182, But what have you done ?  asked Lucy .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
183," My old father , now ,  said Mr. Tumnus , "" that 's his picture over the mantelpiece .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
184,"He would never have done a thing like this . """,,,,,
185, A thing like what ?  said Lucy .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
186," Like what I 've done ,  said the Faun .",Faun,Mr. Tumnus,ACTIVE_SPEAKER,,
187, Taken service under the White Witch .,White Witch,Jadis,MENTIONED_ONLY,,
188,That 's what I am .,,,,,
189,I 'm in the pay of the White Witch . ,White Witch,Jadis,MENTIONED_ONLY,,
190, The White Witch ?,White Witch,Jadis,MENTIONED_ONLY,,
191,Who is she ? ,,,,,
192," Why , it is she that has got all Narnia under her thumb .",,,,,
193,It 's she that makes it always winter .,,,,,
194,Always winter and never Christmas ; think of that !,,,,,
195, How awful !  said Lucy .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
196, But what does she pay you for ? ,,,,,
197," That 's the worst of it ,  said Mr. Tumnus with a deep groan .",Mr. Tumnus,Mr. Tumnus,ACTIVE_SPEAKER,,
198," I 'm a kidnapper for her , that 's what I am .",,,,,
199,"Look at me , Daughter of Eve .",Daughter of Eve,Lucy Pevensie,ADDRESSED,,
200,"Would you believe that I 'm the sort of Faun to meet a poor innocent child in the wood , one that had never done me any harm , and pretend to be friendly with it , and invite it home to my cave , all for the sake of lulling it asleep and then handing it over to the White Witch ? ",Faun,Mr. Tumnus,ADDRESSED,,
200,"Would you believe that I 'm the sort of Faun to meet a poor innocent child in the wood , one that had never done me any harm , and pretend to be friendly with it , and invite it home to my cave , all for the sake of lulling it asleep and then handing it over to the White Witch ? ",White Witch,Jadis,MENTIONED_ONLY,,